N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,P,Congruence,Type,Excluded
51,5,3,2,109,0,0.73843480006326001,2,1,0.64393700007349286,50,Neutral,GO,0
52,4,4,1,109,1,0.49855973850935692,1,1,0,50,Congruent,NO-GO,0
53,5,2,2,120,1,0.42557223851326892,1,1,0,50,Neutral,NO-GO,0
54,2,3,0,110,1,0.40288670000154492,2,1,0.48894660128280493,50,Incongruent,GO,0
55,5,4,2,109,1,0.60130199999548495,2,1,0.39808063837699592,50,Neutral,GO,0
56,1,2,0,120,1,0.75231347698718287,2,1,0.421760799945332,50,Incongruent,GO,0
57,4,3,0,110,1,0.92076850007288202,2,1,0.38471730006858701,50,Incongruent,GO,0
58,2,2,1,120,1,0.62610871554352288,2,1,0.44805160001851602,50,Congruent,GO,0
59,3,1,0,122,1,0.486589477048256,1,1,0,50,Incongruent,NO-GO,0
60,1,2,0,120,1,0.57111767702736005,2,1,0.40936169994529292,50,Incongruent,GO,0
61,5,4,2,109,1,0.63825813843868695,1,1,0,50,Neutral,NO-GO,0
62,4,1,0,122,1,0.49775923846755188,2,1,0.37553333840332892,50,Incongruent,GO,0
63,5,3,2,110,1,0.70925707696005702,1,1,0,50,Neutral,NO-GO,0
64,3,4,0,109,1,0.58466011553537101,1,1,0,50,Incongruent,NO-GO,0
65,5,2,2,120,1,0.465008638449945,1,1,0,50,Neutral,NO-GO,0
66,4,3,0,110,1,0.56193925393745303,1,1,0,50,Incongruent,NO-GO,0
67,5,2,2,120,1,0.68062643846496895,1,1,0,50,Neutral,NO-GO,0
68,3,3,1,110,1,0.49599837698042393,2,1,0.53658980003092405,50,Congruent,GO,0
69,5,4,2,109,1,0.43895189999602702,1,1,0,50,Neutral,NO-GO,0
70,1,1,1,122,1,0.81321089994162288,2,1,0.47195359994657288,50,Congruent,GO,0
71,5,3,2,110,1,0.49934363854117703,1,1,0,50,Neutral,NO-GO,0
72,1,1,1,122,1,0.76662021561060101,2,1,0.381247000070289,50,Congruent,GO,0
73,2,2,1,120,1,0.40285219997167587,2,1,0.41095093847252401,50,Congruent,GO,1
74,1,1,1,122,1,0.54114869993645687,2,1,0.35376150009688001,50,Congruent,GO,0
75,2,2,1,122,0,0.45180563838221088,1,0,0.433839699951932,50,Congruent,False Alarm,0
76,4,3,0,110,1,0.60507395397871688,2,1,0.417893699952401,50,Incongruent,GO,0
77,5,1,2,122,1,0.586156800040044,2,1,0.40698403853457388,50,Neutral,GO,0
78,4,4,1,109,1,0.561524900025688,1,1,0,50,Congruent,NO-GO,0
79,3,3,1,110,1,0.54318359994795185,1,1,0,50,Congruent,NO-GO,0
80,1,2,0,122,0,0.99045907706022285,2,1,0.89481730002444204,50,Incongruent,GO,0
81,4,4,1,109,1,0.77632973843719788,2,1,0.70701403846032895,50,Congruent,GO,0
82,3,1,0,122,1,0.48720411548856601,2,1,0.41184670000802692,50,Incongruent,GO,0
83,5,4,2,109,1,0.64411930006463103,1,1,0,50,Neutral,NO-GO,0
84,1,1,1,122,1,0.47448440000880487,2,1,0.456139799905941,50,Congruent,GO,0
85,5,4,2,109,1,0.56765609991271104,2,1,0.39725599996745592,50,Neutral,GO,0
86,2,1,0,122,1,0.54129653854761295,1,1,0,50,Incongruent,NO-GO,0
87,5,3,2,110,1,0.50330243853386503,2,1,0.984648000099696,50,Neutral,GO,0
88,4,4,1,109,1,0.61877843842376001,1,1,0,50,Congruent,NO-GO,0
89,5,2,2,120,1,0.416501038474962,1,1,0,50,Neutral,NO-GO,0
90,2,3,0,110,1,0.39295950008090602,2,1,0.28160283842589701,50,Incongruent,GO,0
91,5,4,2,109,1,0.486846700077876,2,1,0.33717033849097788,50,Neutral,GO,0
92,1,2,0,120,1,0.394143377081491,2,1,0.363661600043997,50,Incongruent,GO,0
93,4,3,0,110,1,1.0134255384327799,2,1,0.40009639994241292,50,Incongruent,GO,0
94,2,2,1,120,1,0.61144837713800404,2,1,0.48939040000550488,50,Congruent,GO,0
95,3,1,0,122,1,1.1441227383911601,1,1,0,50,Incongruent,NO-GO,0
96,1,2,0,122,0,0.63360931549686905,2,1,0.5226656999439,50,Incongruent,GO,0
97,5,4,2,109,1,0.60786749992985301,1,1,0,50,Neutral,NO-GO,0
98,4,1,0,122,1,0.65962339995894603,2,1,0.43744203844107687,50,Incongruent,GO,0
99,5,3,2,110,1,1.04175553843379,1,1,0,50,Neutral,NO-GO,0
100,3,4,0,109,1,0.67434913851320688,1,1,0,50,Incongruent,NO-GO,0
101,5,2,2,120,1,0.37778143840841988,1,1,0,50,Neutral,NO-GO,0
102,4,3,0,110,1,0.46751671552192392,1,1,0,50,Incongruent,NO-GO,0
103,5,2,2,120,1,0.55394469993188988,1,1,0,50,Neutral,NO-GO,0
104,3,3,1,110,1,0.48592629993800102,2,1,0.49883639998733992,50,Congruent,GO,0
105,5,4,2,109,1,0.40255353844258901,1,1,0,50,Neutral,NO-GO,0
106,1,1,1,122,1,0.72615160001441803,2,1,0.42613893852103502,50,Congruent,GO,0
